Block,Cage,Day,Treatment,Wingless,Winged,Aphids,Mummies
1,1,1,UTC,65,0,65,0
1,2,1,UTC,42,0,42,0
1,3,1,UTC,53,0,53,0
1,4,1,UTC,71,0,71,0
1,5,1,UTC,52,0,52,0
1,6,1,LBO,37,0,37,0
1,7,1,LBO,33,0,33,0
1,8,1,LBO,39,0,39,0
1,9,1,LBO,33,0,33,0
1,10,1,LBO,57,0,57,0
1,11,1,P,31,0,31,0
1,12,1,P,33,0,33,0
1,13,1,P_LBO,22,0,22,0
1,14,1,P_LBO,47,0,47,0
1,15,1,P_LBL,6,0,6,0
1,16,1,LBL,14,0,14,0
1,17,1,LBL,14,0,14,0
1,18,1,LBL,5,0,5,0
1,19,1,LBL,0,0,0,0
1,20,1,LBL,12,0,12,0
1,1,2,UTC,110,1,111,0
1,2,2,UTC,68,0,68,0
1,3,2,UTC,81,0,81,0
1,4,2,UTC,103,0,103,0
1,5,2,UTC,71,0,71,0
1,6,2,LBO,63,0,63,0
1,7,2,LBO,54,0,54,0
1,8,2,LBO,62,1,63,0
1,9,2,LBO,57,0,57,0
1,10,2,LBO,43,2,45,0
1,11,2,P,51,1,52,0
1,12,2,P,40,1,41,0
1,13,2,P_LBO,42,2,44,0
1,14,2,P_LBO,84,2,86,0
1,15,2,P_LBL,2,1,3,0
1,16,2,LBL,16,1,17,0
1,17,2,LBL,22,0,22,0
1,18,2,LBL,9,1,10,0
1,19,2,LBL,0,0,0,0
1,20,2,LBL,6,1,7,0
1,1,3,UTC,176,3,179,0
1,2,3,UTC,141,1,142,0
1,3,3,UTC,138,0,138,0
1,4,3,UTC,207,0,207,0
1,5,3,UTC,106,1,107,0
1,6,3,LBO,139,2,141,0
1,7,3,LBO,84,0,84,0
1,8,3,LBO,126,3,129,0
1,9,3,LBO,112,1,113,0
1,10,3,LBO,158,2,160,0
1,11,3,P,83,1,84,0
1,12,3,P,113,2,115,0
1,13,3,P_LBO,62,4,66,0
1,14,3,P_LBO,119,1,120,0
1,15,3,P_LBL,6,1,7,0
1,16,3,LBL,13,3,16,0
1,17,3,LBL,49,3,52,0
1,18,3,LBL,7,1,8,0
1,19,3,LBL,3,0,3,0
1,20,3,LBL,17,1,18,0
1,1,4,UTC,190,6,196,0
1,2,4,UTC,289,1,290,0
1,3,4,UTC,182,1,183,0
1,4,4,UTC,300,0,300,0
1,5,4,UTC,228,0,228,0
1,6,4,LBO,196,2,198,0
1,7,4,LBO,148,0,148,0
1,8,4,LBO,119,1,120,0
1,9,4,LBO,225,1,226,0
1,10,4,LBO,190,2,192,0
1,11,4,P,109,1,110,0
1,12,4,P,163,2,165,3
1,13,4,P_LBO,105,2,107,0
1,14,4,P_LBO,168,1,169,10
1,15,4,P_LBL,4,1,5,0
1,16,4,LBL,32,3,35,0
1,17,4,LBL,92,4,96,0
1,18,4,LBL,38,2,40,0
1,19,4,LBL,0,0,0,0
1,20,4,LBL,41,1,42,0
1,1,5,UTC,317,11,328,0
1,2,5,UTC,444,1,445,0
1,3,5,UTC,254,1,255,0
1,4,5,UTC,418,9,427,0
1,5,5,UTC,258,0,258,0
1,6,5,LBO,309,3,312,0
1,7,5,LBO,221,1,222,0
1,8,5,LBO,156,1,157,0
1,9,5,LBO,226,0,226,0
1,10,5,LBO,398,3,401,0
1,11,5,P,153,1,154,6
1,12,5,P,370,2,372,0
1,13,5,P_LBO,105,4,109,2
1,14,5,P_LBO,170,1,171,14
1,15,5,P_LBL,5,1,6,1
1,16,5,LBL,37,3,40,0
1,17,5,LBL,142,5,147,0
1,18,5,LBL,31,2,33,0
1,19,5,LBL,0,0,0,0
1,20,5,LBL,43,1,44,0
2,1,1,UTC,63,0,63,0
2,2,1,LBO,56,0,56,0
2,3,1,P,51,0,51,0
2,4,1,P,56,0,56,0
2,5,1,P,58,0,58,0
2,6,1,P,21,0,21,0
2,7,1,P_LBO,47,0,47,0
2,8,1,P_LBO,45,0,45,0
2,9,1,P_LBO,34,0,34,0
2,10,1,P_LBO,25,0,25,0
2,11,1,P_LBL,29,0,29,0
2,12,1,P_LBL,48,0,48,0
2,13,1,P_LBL,15,0,15,0
2,14,1,P_LBL,40,0,40,0
2,15,1,LBL,29,0,29,0
2,1,2,UTC,200,0,200,0
2,2,2,LBO,135,0,135,0
2,3,2,P,82,1,83,0
2,4,2,P,133,0,133,0
2,5,2,P,157,0,157,0
2,6,2,P,58,0,58,0
2,7,2,P_LBO,89,0,89,0
2,8,2,P_LBO,109,0,109,0
2,9,2,P_LBO,73,1,74,0
2,10,2,P_LBO,21,0,21,0
2,11,2,P_LBL,68,0,68,0
2,12,2,P_LBL,127,0,127,0
2,13,2,P_LBL,38,0,38,0
2,14,2,P_LBL,71,0,71,0
2,15,2,LBL,33,0,33,0
2,1,3,UTC,343,0,343,0
2,2,3,LBO,196,0,196,0
2,3,3,P,168,0,168,0
2,4,3,P,219,0,219,0
2,5,3,P,200,0,200,0
2,6,3,P,161,0,161,0
2,7,3,P_LBO,153,0,153,0
2,8,3,P_LBO,254,0,254,0
2,9,3,P_LBO,162,1,163,0
2,10,3,P_LBO,43,1,44,0
2,11,3,P_LBL,130,0,130,0
2,12,3,P_LBL,168,0,168,0
2,13,3,P_LBL,94,0,94,0
2,14,3,P_LBL,110,0,110,0
2,15,3,LBL,158,0,158,0
2,1,4,UTC,398,1,399,0
2,2,4,LBO,269,1,270,0
2,3,4,P,198,7,205,25
2,4,4,P,299,0,299,0
2,5,4,P,261,5,266,10
2,6,4,P,231,0,231,0
2,7,4,P_LBO,179,0,179,11
2,8,4,P_LBO,255,0,255,15
2,9,4,P_LBO,241,1,242,8
2,10,4,P_LBO,17,0,17,10
2,11,4,P_LBL,161,0,161,0
2,12,4,P_LBL,141,1,142,15
2,13,4,P_LBL,136,0,136,0
2,14,4,P_LBL,78,0,78,16
2,15,4,LBL,268,0,268,0
2,1,5,UTC,612,10,622,0
2,2,5,LBO,343,26,369,0
2,3,5,P,383,28,411,16
2,4,5,P,358,21,379,0
2,5,5,P,478,14,492,14
2,6,5,P,375,7,382,0
2,7,5,P_LBO,241,0,241,11
2,8,5,P_LBO,390,9,399,15
2,9,5,P_LBO,297,5,302,11
2,10,5,P_LBO,35,0,35,10
2,11,5,P_LBL,316,1,317,0
2,12,5,P_LBL,242,22,264,20
2,13,5,P_LBL,297,1,298,0
2,14,5,P_LBL,92,9,101,19
2,15,5,LBL,263,0,263,0
