Block,Cage,Day,Treatment,Wingless,Winged,Aphids,Mummies
1,1,1,UTC,65,0,65,0
1,2,1,UTC,42,0,42,0
1,3,1,UTC,53,0,53,0
1,4,1,UTC,71,0,71,0
1,5,1,UTC,52,0,52,0
1,6,1,LBO,37,0,37,0
1,7,1,LBO,33,0,33,0
1,8,1,LBO,39,0,39,0
1,9,1,LBO,33,0,33,0
1,10,1,LBO,57,0,57,0
1,11,1,P,56,0,56,0
1,12,1,P,20,0,20,0
1,13,1,P,31,0,31,0
1,14,1,P,33,0,33,0
1,15,1,P,19,0,19,0
1,16,1,P_LBO,57,0,57,0
1,17,1,P_LBO,22,0,22,0
1,18,1,P_LBO,37,0,37,0
1,19,1,P_LBO,47,0,47,0
1,20,1,P_LBO,46,0,46,0
1,21,1,P_LBL,0,0,0,0
1,22,1,P_LBL,4,0,4,0
1,23,1,P_LBL,19,0,19,0
1,24,1,P_LBL,6,0,6,0
1,25,1,P_LBL,6,0,6,0
1,26,1,LBL,14,0,14,0
1,27,1,LBL,14,0,14,0
1,28,1,LBL,5,0,5,0
1,29,1,LBL,0,0,0,0
1,30,1,LBL,12,0,12,0
1,1,2,UTC,110,1,111,0
1,2,2,UTC,68,0,68,0
1,3,2,UTC,81,0,81,0
1,4,2,UTC,103,0,103,0
1,5,2,UTC,71,0,71,0
1,6,2,LBO,63,0,63,0
1,7,2,LBO,54,0,54,0
1,8,2,LBO,62,1,63,0
1,9,2,LBO,57,0,57,0
1,10,2,LBO,43,2,45,0
1,11,2,P,51,2,53,0
1,12,2,P,17,1,18,0
1,13,2,P,51,1,52,0
1,14,2,P,40,1,41,0
1,15,2,P,28,0,28,0
1,16,2,P_LBO,101,0,101,0
1,17,2,P_LBO,42,2,44,0
1,18,2,P_LBO,68,2,70,0
1,19,2,P_LBO,84,2,86,0
1,20,2,P_LBO,71,0,71,0
1,21,2,P_LBL,0,0,0,0
1,22,2,P_LBL,6,1,7,0
1,23,2,P_LBL,40,4,44,0
1,24,2,P_LBL,2,1,3,0
1,25,2,P_LBL,10,0,10,0
1,26,2,LBL,16,1,17,0
1,27,2,LBL,22,0,22,0
1,28,2,LBL,9,1,10,0
1,29,2,LBL,0,0,0,0
1,30,2,LBL,6,1,7,0
1,1,3,UTC,176,3,179,0
1,2,3,UTC,141,1,142,0
1,3,3,UTC,138,0,138,0
1,4,3,UTC,207,0,207,0
1,5,3,UTC,106,1,107,0
1,6,3,LBO,139,2,141,0
1,7,3,LBO,84,0,84,0
1,8,3,LBO,126,3,129,0
1,9,3,LBO,112,1,113,0
1,10,3,LBO,158,2,160,0
1,11,3,P,91,3,94,0
1,12,3,P,60,1,61,0
1,13,3,P,83,1,84,0
1,14,3,P,113,2,115,0
1,15,3,P,75,3,78,0
1,16,3,P_LBO,146,0,146,0
1,17,3,P_LBO,62,4,66,0
1,18,3,P_LBO,108,2,110,0
1,19,3,P_LBO,119,1,120,0
1,20,3,P_LBO,104,0,104,0
1,21,3,P_LBL,0,0,0,0
1,22,3,P_LBL,12,0,12,0
1,23,3,P_LBL,69,5,74,0
1,24,3,P_LBL,6,1,7,0
1,25,3,P_LBL,15,0,15,0
1,26,3,LBL,13,3,16,0
1,27,3,LBL,49,3,52,0
1,28,3,LBL,7,1,8,0
1,29,3,LBL,3,0,3,0
1,30,3,LBL,17,1,18,0
1,1,4,UTC,190,6,196,0
1,2,4,UTC,289,1,290,0
1,3,4,UTC,182,1,183,0
1,4,4,UTC,300,0,300,0
1,5,4,UTC,228,0,228,0
1,6,4,LBO,196,2,198,0
1,7,4,LBO,148,0,148,0
1,8,4,LBO,119,1,120,0
1,9,4,LBO,225,1,226,0
1,10,4,LBO,190,2,192,0
1,11,4,P,161,2,163,0
1,12,4,P,99,3,102,0
1,13,4,P,109,1,110,0
1,14,4,P,163,2,165,3
1,15,4,P,86,2,88,0
1,16,4,P_LBO,249,0,249,0
1,17,4,P_LBO,105,2,107,0
1,18,4,P_LBO,229,3,232,0
1,19,4,P_LBO,168,1,169,10
1,20,4,P_LBO,217,0,217,0
1,21,4,P_LBL,6,0,6,0
1,22,4,P_LBL,20,0,20,0
1,23,4,P_LBL,115,5,120,0
1,24,4,P_LBL,4,1,5,0
1,25,4,P_LBL,20,0,20,0
1,26,4,LBL,32,3,35,0
1,27,4,LBL,92,4,96,0
1,28,4,LBL,38,2,40,0
1,29,4,LBL,0,0,0,0
1,30,4,LBL,41,1,42,0
1,1,5,UTC,317,11,328,0
1,2,5,UTC,444,1,445,0
1,3,5,UTC,254,1,255,0
1,4,5,UTC,418,9,427,0
1,5,5,UTC,258,0,258,0
1,6,5,LBO,309,3,312,0
1,7,5,LBO,221,1,222,0
1,8,5,LBO,156,1,157,0
1,9,5,LBO,226,0,226,0
1,10,5,LBO,398,3,401,0
1,11,5,P,206,2,208,0
1,12,5,P,97,3,100,0
1,13,5,P,153,1,154,6
1,14,5,P,370,2,372,0
1,15,5,P,74,1,75,0
1,16,5,P_LBO,384,4,388,0
1,17,5,P_LBO,105,4,109,2
1,18,5,P_LBO,278,3,281,0
1,19,5,P_LBO,170,1,171,14
1,20,5,P_LBO,338,1,339,0
1,21,5,P_LBL,9,0,9,0
1,22,5,P_LBL,32,0,32,0
1,23,5,P_LBL,128,5,133,0
1,24,5,P_LBL,5,1,6,1
1,25,5,P_LBL,45,0,45,0
1,26,5,LBL,37,3,40,0
1,27,5,LBL,142,5,147,0
1,28,5,LBL,31,2,33,0
1,29,5,LBL,0,0,0,0
1,30,5,LBL,43,1,44,0
2,1,1,UTC,63,0,63,0
2,2,1,LBO,56,0,56,0
2,3,1,P,51,0,51,0
2,4,1,P,56,0,56,0
2,5,1,P,58,0,58,0
2,6,1,P,21,0,21,0
2,7,1,P_LBO,47,0,47,0
2,8,1,P_LBO,45,0,45,0
2,9,1,P_LBO,34,0,34,0
2,10,1,P_LBO,25,0,25,0
2,11,1,P_LBL,29,0,29,0
2,12,1,P_LBL,48,0,48,0
2,13,1,P_LBL,15,0,15,0
2,14,1,P_LBL,40,0,40,0
2,15,1,LBL,29,0,29,0
2,1,2,UTC,200,0,200,0
2,2,2,LBO,135,0,135,0
2,3,2,P,82,1,83,0
2,4,2,P,133,0,133,0
2,5,2,P,157,0,157,0
2,6,2,P,58,0,58,0
2,7,2,P_LBO,89,0,89,0
2,8,2,P_LBO,109,0,109,0
2,9,2,P_LBO,73,1,74,0
2,10,2,P_LBO,21,0,21,0
2,11,2,P_LBL,68,0,68,0
2,12,2,P_LBL,127,0,127,0
2,13,2,P_LBL,38,0,38,0
2,14,2,P_LBL,71,0,71,0
2,15,2,LBL,33,0,33,0
2,1,3,UTC,343,0,343,0
2,2,3,LBO,196,0,196,0
2,3,3,P,168,0,168,0
2,4,3,P,219,0,219,0
2,5,3,P,200,0,200,0
2,6,3,P,161,0,161,0
2,7,3,P_LBO,153,0,153,0
2,8,3,P_LBO,254,0,254,0
2,9,3,P_LBO,162,1,163,0
2,10,3,P_LBO,43,1,44,0
2,11,3,P_LBL,130,0,130,0
2,12,3,P_LBL,168,0,168,0
2,13,3,P_LBL,94,0,94,0
2,14,3,P_LBL,110,0,110,0
2,15,3,LBL,158,0,158,0
2,1,4,UTC,398,1,399,0
2,2,4,LBO,269,1,270,0
2,3,4,P,198,7,205,25
2,4,4,P,299,0,299,0
2,5,4,P,261,5,266,10
2,6,4,P,231,0,231,0
2,7,4,P_LBO,179,0,179,11
2,8,4,P_LBO,255,0,255,15
2,9,4,P_LBO,241,1,242,8
2,10,4,P_LBO,17,0,17,10
2,11,4,P_LBL,161,0,161,0
2,12,4,P_LBL,141,1,142,15
2,13,4,P_LBL,136,0,136,0
2,14,4,P_LBL,78,0,78,16
2,15,4,LBL,268,0,268,0
2,1,5,UTC,612,10,622,0
2,2,5,LBO,343,26,369,0
2,3,5,P,383,28,411,16
2,4,5,P,358,21,379,0
2,5,5,P,478,14,492,14
2,6,5,P,375,7,382,0
2,7,5,P_LBO,241,0,241,11
2,8,5,P_LBO,390,9,399,15
2,9,5,P_LBO,297,5,302,11
2,10,5,P_LBO,35,0,35,10
2,11,5,P_LBL,316,1,317,0
2,12,5,P_LBL,242,22,264,20
2,13,5,P_LBL,297,1,298,0
2,14,5,P_LBL,92,9,101,19
2,15,5,LBL,263,0,263,0
3,1,1,UTC,33,0,33,0
3,2,1,UTC,14,0,14,0
3,3,1,UTC,47,0,47,0
3,4,1,UTC,32,1,33,0
3,5,1,LBO,20,0,20,0
3,6,1,LBO,40,0,40,0
3,7,1,LBO,24,0,24,0
3,8,1,LBO,35,1,36,0
3,9,1,P,26,0,26,0
3,10,1,P,25,0,25,0
3,11,1,P,32,0,32,0
3,12,1,P,25,1,26,0
3,13,1,P,24,0,24,0
3,14,1,P,28,1,29,0
3,15,1,P,38,0,38,0
3,16,1,P_LBO,17,0,17,0
3,17,1,P_LBO,34,2,36,0
3,18,1,P_LBO,33,0,33,0
3,19,1,P_LBO,27,0,27,0
3,20,1,P_LBL,17,0,17,0
3,21,1,P_LBL,10,1,11,0
3,22,1,P_LBL,23,0,23,0
3,23,1,P_LBL,20,0,20,0
3,24,1,P_LBL,8,1,9,0
3,25,1,P_LBL,24,0,24,0
3,26,1,P_LBL,14,0,14,0
3,27,1,LBL,16,1,17,0
3,28,1,LBL,21,0,21,0
3,29,1,LBL,3,0,3,0
3,30,1,LBL,7,0,7,0
3,31,1,LBL,4,0,4,0
3,1,2,UTC,70,1,71,0
3,2,2,UTC,12,0,12,0
3,3,2,UTC,75,1,76,0
3,4,2,UTC,59,1,60,0
3,5,2,LBO,6,0,6,0
3,6,2,LBO,68,1,69,0
3,7,2,LBO,36,1,37,0
3,8,2,LBO,48,0,48,0
3,9,2,P,47,0,47,0
3,10,2,P,27,1,28,0
3,11,2,P,45,1,46,0
3,12,2,P,51,1,52,0
3,13,2,P,36,0,36,0
3,14,2,P,55,1,56,0
3,15,2,P,51,1,52,0
3,16,2,P_LBO,25,1,26,0
3,17,2,P_LBO,57,3,60,0
3,18,2,P_LBO,64,0,64,0
3,19,2,P_LBO,44,0,44,0
3,20,2,P_LBL,52,0,52,0
3,21,2,P_LBL,23,0,23,0
3,22,2,P_LBL,83,1,84,0
3,23,2,P_LBL,32,0,32,0
3,24,2,P_LBL,24,1,25,0
3,25,2,P_LBL,44,0,44,0
3,26,2,P_LBL,21,0,21,0
3,27,2,LBL,28,1,29,0
3,28,2,LBL,49,1,50,0
3,29,2,LBL,13,1,14,0
3,30,2,LBL,24,0,24,0
3,31,2,LBL,13,0,13,0
3,1,3,UTC,94,0,94,0
3,2,3,UTC,16,0,16,0
3,3,3,UTC,124,0,124,0
3,4,3,UTC,88,1,89,0
3,5,3,LBO,12,0,12,0
3,6,3,LBO,85,2,87,0
3,7,3,LBO,83,1,84,0
3,8,3,LBO,65,1,66,0
3,9,3,P,75,0,75,0
3,10,3,P,32,1,33,0
3,11,3,P,61,0,61,0
3,12,3,P,47,1,48,0
3,13,3,P,34,0,34,0
3,14,3,P,57,1,58,0
3,15,3,P,82,1,83,0
3,16,3,P_LBO,37,2,39,0
3,17,3,P_LBO,54,2,56,0
3,18,3,P_LBO,83,0,83,0
3,19,3,P_LBO,47,0,47,0
3,20,3,P_LBL,83,0,83,0
3,21,3,P_LBL,30,0,30,0
3,22,3,P_LBL,100,2,102,0
3,23,3,P_LBL,33,0,33,0
3,24,3,P_LBL,24,0,24,0
3,25,3,P_LBL,57,0,57,0
3,26,3,P_LBL,20,0,20,0
3,27,3,LBL,51,2,53,0
3,28,3,LBL,96,0,96,0
3,29,3,LBL,23,0,23,0
3,30,3,LBL,26,0,26,0
3,31,3,LBL,30,0,30,0
3,1,4,UTC,139,1,140,0
3,2,4,UTC,21,0,21,0
3,3,4,UTC,160,3,163,0
3,4,4,UTC,230,0,230,0
3,5,4,LBO,13,0,13,0
3,6,4,LBO,161,1,162,0
3,7,4,LBO,127,0,127,0
3,8,4,LBO,107,1,108,0
3,9,4,P,71,0,71,1
3,10,4,P,40,0,40,9
3,11,4,P,52,0,52,14
3,12,4,P,48,1,49,14
3,13,4,P,35,0,35,13
3,14,4,P,38,2,40,14
3,15,4,P,111,3,114,3
3,16,4,P_LBO,41,1,42,0
3,17,4,P_LBO,104,1,105,3
3,18,4,P_LBO,161,1,162,4
3,19,4,P_LBO,34,0,34,14
3,20,4,P_LBL,161,0,161,0
3,21,4,P_LBL,44,0,44,6
3,22,4,P_LBL,198,2,200,0
3,23,4,P_LBL,22,0,22,4
3,24,4,P_LBL,19,0,19,7
3,25,4,P_LBL,65,1,66,12
3,26,4,P_LBL,20,0,20,3
3,27,4,LBL,45,1,46,0
3,28,4,LBL,140,1,141,0
3,29,4,LBL,54,0,54,0
3,30,4,LBL,41,0,41,0
3,31,4,LBL,38,0,38,0
3,1,5,UTC,175,3,178,0
3,2,5,UTC,40,0,40,0
3,3,5,UTC,500,14,514,0
3,4,5,UTC,469,15,484,0
3,5,5,LBO,17,0,17,0
3,6,5,LBO,258,3,261,0
3,7,5,LBO,190,3,193,0
3,8,5,LBO,267,3,270,0
3,9,5,P,117,4,121,4
3,10,5,P,119,0,119,11
3,11,5,P,40,0,40,32
3,12,5,P,118,2,120,16
3,13,5,P,68,2,70,20
3,14,5,P,193,2,195,16
3,15,5,P,215,6,221,3
3,16,5,P_LBO,55,2,57,0
3,17,5,P_LBO,364,2,366,3
3,18,5,P_LBO,264,6,270,10
3,19,5,P_LBO,137,4,141,24
3,20,5,P_LBL,225,3,228,0
3,21,5,P_LBL,148,3,151,7
3,22,5,P_LBL,382,13,395,0
3,23,5,P_LBL,26,0,26,13
3,24,5,P_LBL,65,0,65,11
3,25,5,P_LBL,125,10,135,13
3,26,5,P_LBL,59,0,59,3
3,27,5,LBL,57,1,58,0
3,28,5,LBL,233,22,255,0
3,29,5,LBL,120,1,121,0
3,30,5,LBL,76,1,77,0
3,31,5,LBL,113,1,114,0
4,1,1,UTC,26,0,26,0
4,2,1,UTC,28,0,28,0
4,3,1,UTC,48,0,48,0
4,4,1,UTC,36,2,38,0
4,5,1,UTC,34,0,34,0
4,6,1,LBO,36,2,38,0
4,7,1,LBO,28,0,28,0
4,8,1,LBO,25,2,27,0
4,9,1,LBO,40,3,43,0
4,10,1,LBO,32,0,32,0
4,11,1,P,31,2,33,0
4,12,1,P,18,1,19,0
4,13,1,P,41,0,41,0
4,14,1,P,23,3,26,0
4,15,1,P,23,1,24,0
4,16,1,P_LBO,14,0,14,0
4,17,1,P_LBO,17,1,18,0
4,18,1,P_LBO,20,1,21,0
4,19,1,P_LBO,30,1,31,0
4,20,1,P_LBO,39,0,39,0
4,21,1,P_LBL,32,0,32,0
4,22,1,P_LBL,1,0,1,0
4,23,1,P_LBL,1,0,1,0
4,24,1,P_LBL,38,0,38,0
4,25,1,P_LBL,56,0,56,0
4,26,1,LBL,18,0,18,0
4,27,1,LBL,13,0,13,0
4,28,1,LBL,44,7,51,0
4,29,1,LBL,35,0,35,0
4,30,1,LBL,25,1,26,0
4,1,2,UTC,49,0,49,0
4,2,2,UTC,58,0,58,0
4,3,2,UTC,93,1,94,0
4,4,2,UTC,58,1,59,0
4,5,2,UTC,68,0,68,0
4,6,2,LBO,101,1,102,0
4,7,2,LBO,65,0,65,0
4,8,2,LBO,53,4,57,0
4,9,2,LBO,78,4,82,0
4,10,2,LBO,96,0,96,0
4,11,2,P,80,4,84,0
4,12,2,P,50,1,51,0
4,13,2,P,66,1,67,0
4,14,2,P,38,1,39,0
4,15,2,P,53,6,59,0
4,16,2,P_LBO,22,0,22,0
4,17,2,P_LBO,32,1,33,0
4,18,2,P_LBO,55,3,58,0
